"SSB","Rec"
37.2018975978038,483.137432524216
52.916952392508,316.870990899932
54.2499326901775,315.877478372113
50.7086712872829,204.027788638865
59.5546757146656,341.528374967052
61.2369089758422,472.222302504377
49.5839997906375,509.049872798388
50.5981288849314,327.56467157457
49.4837584800006,618.95416931204
72.5372602266577,414.730198409486
102.727868220585,638.523969987733
126.92833163109,364.93378206817
133.721608867957,472.7481167412
161.583149778302,261.482034140749
142.431415898309,717.152208943492
162.951824740923,242.325195685925
126.864175640895,368.161338365906
127.18985409253,361.88094700008
118.234381669587,500.549880914536
