"estimate","lower","upper","Year"
387.436473857158,378.914537818875,395.958409895442,1
483.137432524216,471.718366376856,494.556498671576,2
316.870990899932,309.158642650317,324.583339149547,3
315.877478372113,308.552059602071,323.202897142155,4
204.027788638865,199.023661046855,209.031916230875,5
341.528374967052,333.641739928648,349.415010005457,6
472.222302504377,461.530337055624,482.91426795313,7
509.049872798388,497.014024452894,521.085721143882,8
327.56467157457,320.370462529981,334.758880619159,9
618.95416931204,605.408577704246,632.499760919835,10
414.730198409486,404.673872016852,424.78652480212,11
638.523969987733,623.610108848635,653.437831126831,12
364.93378206817,356.459274993613,373.408289142726,13
472.7481167412,461.520243128467,483.975990353933,14
261.482034140749,255.51993330462,267.444134976877,15
717.152208943492,700.856306724157,733.448111162827,16
242.325195685925,236.293242715737,248.357148656113,17
368.161338365906,359.50585273928,376.816823992532,18
361.88094700008,354.781253358156,368.980640642003,19
500.549880914536,488.700780088482,512.398981740589,20
